3500 Plate Layout File Version 1.0													
													
Plate Name	Application Type	Capillary Length (cm)	Polymer	Number of Wells	Owner Name	Barcode Number	Comments						
230215-COVID-19	Sequencing	50	POP7	96									
													
Well	Sample Name	Assay	Results Group	File Name Convention	Sample Type	User Defined Field 1	User Defined Field 2	User Defined Field 3	User Defined Field 4	User Defined Field 5	Amplicon	Specimen	Comments
A01	240115-1195-p1	Std_Seq_Assay-POP7	HIV	HIV	Sample								
B01	240115-1195-p2	Std_Seq_Assay-POP7	HIV	HIV	Sample								
C01	240115-1195-r1	Std_Seq_Assay-POP7	HIV	HIV	Sample								
D01	240115-1195-r2	Std_Seq_Assay-POP7	HIV	HIV	Sample								
E01	240115-1195-r3	Std_Seq_Assay-POP7	HIV	HIV	Sample								
F01	240115-1195-r4	Std_Seq_Assay-POP7	HIV	HIV	Sample								
G01	240115-1195-env-f	Std_Seq_Assay-POP7	HIV	HIV	Sample								
H01	240115-1195-env-r	Std_Seq_Assay-POP7	HIV	HIV	Sample								
A02	240115-1198-p1	Std_Seq_Assay-POP7	HIV	HIV	Sample								
B02	240115-1198-p2	Std_Seq_Assay-POP7	HIV	HIV	Sample								
C02	240115-1198-r1	Std_Seq_Assay-POP7	HIV	HIV	Sample								
D02	240115-1198-r2	Std_Seq_Assay-POP7	HIV	HIV	Sample								
E02	240115-1198-r3	Std_Seq_Assay-POP7	HIV	HIV	Sample								
F02	240115-1198-r4	Std_Seq_Assay-POP7	HIV	HIV	Sample								
G02	240115-1198-env-f	Std_Seq_Assay-POP7	HIV	HIV	Sample								
H02	240115-1198-env-r	Std_Seq_Assay-POP7	HIV	HIV	Sample								
A03	240115-1199-p1	Std_Seq_Assay-POP7	HIV	HIV	Sample								
B03	240115-1199-p2	Std_Seq_Assay-POP7	HIV	HIV	Sample								
C03	240115-1199-r1	Std_Seq_Assay-POP7	HIV	HIV	Sample								
D03	240115-1199-r2	Std_Seq_Assay-POP7	HIV	HIV	Sample								
