no	index	access.no.
BankIt2686069	Seq1	OQ680574
BankIt2686069	Seq2	OQ680575
BankIt2686069	Seq3	OQ680576
BankIt2686069	Seq4	OQ680577
BankIt2686069	Seq5	OQ680578
BankIt2686069	Seq6	OQ680579
BankIt2686069	Seq7	OQ680580
BankIt2686069	Seq8	OQ680581
BankIt2686069	Seq9	OQ680582
BankIt2686069	Seq10	OQ680583
BankIt2686069	Seq11	OQ680584
BankIt2686069	Seq12	OQ680585
BankIt2686069	Seq13	OQ680586
BankIt2686069	Seq14	OQ680587
BankIt2686069	Seq15	OQ680588
BankIt2686069	Seq16	OQ680589
BankIt2686069	Seq17	OQ680590
BankIt2686069	Seq18	OQ680591
BankIt2686069	Seq19	OQ680592
BankIt2686069	Seq20	OQ680593
BankIt2686069	Seq21	OQ680594
BankIt2686069	Seq22	OQ680595
BankIt2686069	Seq23	OQ680596
BankIt2686069	Seq24	OQ680597
BankIt2686069	Seq25	OQ680598
BankIt2686069	Seq26	OQ680599
BankIt2686069	Seq27	OQ680600
BankIt2686069	Seq28	OQ680601
BankIt2686069	Seq29	OQ680602
BankIt2686069	Seq30	OQ680603
BankIt2686069	Seq31	OQ680604
BankIt2686069	Seq32	OQ680605
BankIt2686069	Seq33	OQ680606
BankIt2686069	Seq34	OQ680607
BankIt2686069	Seq35	OQ680608
BankIt2686069	Seq36	OQ680609
BankIt2686069	Seq37	OQ680610
BankIt2686069	Seq38	OQ680611
BankIt2686069	Seq39	OQ680612
BankIt2686069	Seq40	OQ680613
BankIt2686069	Seq41	OQ680614
BankIt2686069	Seq42	OQ680615
BankIt2686069	Seq43	OQ680616
BankIt2686069	Seq44	OQ680617
BankIt2686069	Seq45	OQ680618
BankIt2686069	Seq46	OQ680619
BankIt2686069	Seq47	OQ680620
BankIt2686069	Seq48	OQ680621
