access.no.	country	host	collection-date	genotype	subtype
OQ680574	Russia	Homo sapiens	25.10.2022	A	A6
OQ680619	Russia	Homo sapiens	16.11.2022	A	A6
OQ680575	Russia	Homo sapiens	25.10.2022	A	CRF63_02A6
OQ680576	Russia	Homo sapiens	25.10.2022	A	A6
OQ680620	Russia	Homo sapiens	18.11.2022	A	A6
OQ680577	Russia	Homo sapiens	25.10.2022	A	A6
OQ680578	Russia	Homo sapiens	25.10.2022	A	A6
OQ680621	Russia	Homo sapiens	18.11.2022	A	A6
OQ680579	Russia	Homo sapiens	25.10.2022	A	A6
OQ680580	Russia	Homo sapiens	25.10.2022	A	A6
OQ680581	Russia	Homo sapiens	25.10.2022	A	A6
OQ680582	Russia	Homo sapiens	25.10.2022	A	A6
OQ680583	Russia	Homo sapiens	25.10.2022	A	A6
OQ680584	Russia	Homo sapiens	25.10.2022	A	A6
OQ680585	Russia	Homo sapiens	25.10.2022	A	A6
OQ680586	Russia	Homo sapiens	25.10.2022	A	A6
OQ680587	Russia	Homo sapiens	25.10.2022	A	A6
OQ680588	Russia	Homo sapiens	25.10.2022	A	A6
OQ680589	Russia	Homo sapiens	25.10.2022	A	A6
OQ680590	Russia	Homo sapiens	25.10.2022	A	A6
OQ680591	Russia	Homo sapiens	25.10.2022	A	A6
OQ680592	Russia	Homo sapiens	25.10.2022	A	A6
OQ680593	Russia	Homo sapiens	25.10.2022	A	A6
OQ680594	Russia	Homo sapiens	25.10.2022	A	A6
OQ680595	Russia	Homo sapiens	25.10.2022	A	A6
OQ680596	Russia	Homo sapiens	25.10.2022	A	A6
OQ680597	Russia	Homo sapiens	25.10.2022	A	A6
OQ680598	Russia	Homo sapiens	26.10.2022	A	A6
OQ680599	Russia	Homo sapiens	26.10.2022	A	A6
OQ680600	Russia	Homo sapiens	26.10.2022	A	A6
OQ680601	Russia	Homo sapiens	26.10.2022	A	A6
OQ680602	Russia	Homo sapiens	26.10.2022	A	A6
OQ680603	Russia	Homo sapiens	26.10.2022	A	CRF63_02A6
OQ680604	Russia	Homo sapiens	26.10.2022	A	CRF63_02A6
OQ680605	Russia	Homo sapiens	26.10.2022	A	A6
OQ680606	Russia	Homo sapiens	26.10.2022	A	A6
OQ680607	Russia	Homo sapiens	26.10.2022	A	A6
OQ680608	Russia	Homo sapiens	26.10.2022	A	A6
OQ680609	Russia	Homo sapiens	26.10.2022	A	A6
OQ680610	Russia	Homo sapiens	27.10.2022	A	A6
OQ680611	Russia	Homo sapiens	27.10.2022	A	A6
OQ680612	Russia	Homo sapiens	09.11.2022	A	A6
OQ680613	Russia	Homo sapiens	08.11.2022	A	A6
OQ680614	Russia	Homo sapiens	09.11.2022	A	A6
OQ680615	Russia	Homo sapiens	14.11.2022	A	A6
OQ680616	Russia	Homo sapiens	14.11.2022	A	A6
OQ680617	Russia	Homo sapiens	15.11.2022	A	A6
OQ680618	Russia	Homo sapiens	16.11.2022	A	A6
