Trace	Avg Raw Signal Intensity (A)	Avg Raw Signal Intensity (C)	Avg Raw Signal Intensity (G)	Avg Raw Signal Intensity (T)
16F_p1.ab1 1	10	10	8	12
20F_p1.ab1 1	423	320	241	385
22F_p1.ab1 1	22	18	16	17
16F_p2.ab1 2	1934	732	1331	1984
20F_p2.ab1 2	2326	2217	1779	4530
22F_p2.ab1 2	19	15	14	14
16D_r1.ab1 3	216	54	140	161
20D_r1.ab1 3	1001	345	535	908
22D_r1.ab1 3	28	17	15	27
16D_r2.ab1 4	44	19	31	42
20D_r2.ab1 4	62	36	30	76
22D_r2.ab1 4	22	15	13	25
16D_r3.ab1 5	81	24	62	56
20D_r3.ab1 5	1663	567	846	1453
22D_r3.ab1 5	17	13	10	17
16D_r4.ab1 6	59	24	38	57
20D_r4.ab1 6	913	440	309	1096
22D_r4.ab1 6	19	15	11	25
16D_r5.ab1 7	45	17	35	36
20D_r5.ab1 7	998	378	598	1037
22D_r5.ab1 7	66	29	51	73
16D_r6.ab1 8	46	21	33	42
20D_r6.ab1 8	118	100	52	101
22D_r6.ab1 8	23	19	15	19
