Trace File Name	Well#	Cap#	Trace Score	Contiguous Read Length	QV20+	Signal Intensity (A)	Signal Intensity (C)	Signal Intensity (G)	Signal Intensity (T)	Comments
16F_p1.ab1	A01	1	0	0	0	10	10	8	12	
16F_p2.ab1	B01	2	11	0	27	1934	732	1331	1984	
16D_r1.ab1	C01	3	15	40	196	216	54	140	161	
16D_r2.ab1	D01	4	12	0	25	44	19	31	42	
16D_r3.ab1	E01	5	13	0	29	81	24	62	56	
16D_r4.ab1	F01	6	11	0	12	59	24	38	57	
16D_r5.ab1	G01	7	11	0	61	45	17	35	36	
16D_r6.ab1	H01	8	12	0	51	46	21	33	42	
20F_p1.ab1	A02	1	14	7	58	423	320	241	385	
20F_p2.ab1	B02	2	30	159	129	2326	2217	1779	4530	
20D_r1.ab1	C02	3	25	275	229	1001	345	535	908	
20D_r2.ab1	D02	4	24	262	216	62	36	30	76	
20D_r3.ab1	E02	5	29	142	112	1663	567	846	1453	
20D_r4.ab1	F02	6	27	180	128	913	440	309	1096	
20D_r5.ab1	G02	7	17	56	162	998	378	598	1037	
20D_r6.ab1	H02	8	9	0	8	118	100	52	101	
22F_p1.ab1	A03	1	0	0	0	22	18	16	17	
22F_p2.ab1	B03	2	0	0	0	19	15	14	14	
22D_r1.ab1	C03	3	28	650	516	28	17	15	27	
22D_r2.ab1	D03	4	13	64	74	22	15	13	25	
22D_r3.ab1	E03	5	13	0	26	17	13	10	17	
22D_r4.ab1	F03	6	10	0	5	19	15	11	25	
22D_r5.ab1	G03	7	19	103	151	66	29	51	73	
22D_r6.ab1	H03	8	0	0	0	23	19	15	19	
