input_seq_id;hit_num;accession_id;definition
100_liquor_Chelyabinsk;1;EF589039;"HIV-1 isolate 02KZPAV300497 from Kazakhstan gag protein (gag) and pol protein (pol) genes, partial cds; and vif protein (vif), vpr protein (vpr), tat protein (tat), rev protein (rev), vpu protein (vpu), envelope glycoprotein (env), and nef protein (nef) genes, complete cds"
100_liquor_Chelyabinsk;2;EF589040;"HIV-1 isolate 02KZYUZ300413 from Kazakhstan gag protein (gag) and pol protein (pol) genes, partial cds; and vif protein (vif), vpr protein (vpr), tat protein (tat), rev protein (rev), vpu protein (vpu), envelope glycoprotein (env), and nef protein (nef) genes, complete cds"
100_liquor_Chelyabinsk;3;EF589041;"HIV-1 isolate 02KZYUZ300425 from Kazakhstan gag protein (gag) and pol protein (pol) genes, partial cds; and vif protein (vif), vpr protein (vpr), tat protein (tat), rev protein (rev), vpu protein (vpu), envelope glycoprotein (env), and nef protein (nef) genes, complete cds"
100_liquor_Chelyabinsk;4;JX290235;HIV-1 isolate 10RU72m from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;5;AY829212;"HIV-1 isolate 02UZ0672 from Uzbekistan gag protein (gag) and pol protein (pol) genes, partial cds; and vif protein (vif), vpr protein (vpr), tat protein (tat), rev protein (rev), vpu protein (vpu), envelope glycoprotein (env), and nef protein (nef) genes, complete cds"
100_liquor_Chelyabinsk;6;AY829208;"HIV-1 isolate 02UZ740 from Uzbekistan gag protein (gag) and pol protein (pol) genes, partial cds; and vif protein (vif), vpr protein (vpr), tat protein (tat), rev protein (rev), vpu protein (vpu), envelope glycoprotein (env), and nef protein (nef) genes, complete cds"
100_liquor_Chelyabinsk;7;AY829203;"HIV-1 isolate 02UZ652 from Uzbekistan gag protein (gag) and pol protein (pol) genes, partial cds; and vif protein (vif), vpr protein (vpr), tat protein (tat), rev protein (rev), vpu protein (vpu), envelope glycoprotein (env), and nef protein (nef) genes, complete cds"
100_liquor_Chelyabinsk;8;HF679217;HIV-1 M:A1 MnObl-45A1 partial gag-pol gene for polyprotein, protease and reverse transcriptase region
100_liquor_Chelyabinsk;9;AY829205;"HIV-1 isolate 02UZ694 from Uzbekistan gag protein (gag) and pol protein (pol) genes, partial cds; and vif protein (vif), vpr protein (vpr), tat protein (tat), rev protein (rev), vpu protein (vpu), envelope glycoprotein (env), and nef protein (nef) genes, complete cds"
100_liquor_Chelyabinsk;10;KF374866;HIV-1 isolate 11RU10476 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;11;AY829211;"HIV-1 isolate 02UZ0667 from Uzbekistan gag protein (gag) and pol protein (pol) genes, partial cds; and vif protein (vif), vpr protein (vpr), and vpu protein (vpu) genes, complete cds"
100_liquor_Chelyabinsk;12;AY829206;"HIV-1 isolate 02UZ698 from Uzbekistan gag protein (gag) and pol protein (pol) genes, partial cds; and vif protein (vif), vpr protein (vpr), tat protein (tat), rev protein (rev), vpu protein (vpu), envelope glycoprotein (env), and nef protein (nef) genes, complete cds"
100_liquor_Chelyabinsk;13;KF374871;HIV-1 isolate 11RU11913 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;14;EF122560;HIV-1 isolate 04CNLN69 from China gag protein (gag) and pol protein (pol) genes, partial cds
100_liquor_Chelyabinsk;15;AY829209;"HIV-1 isolate 02UZ0659 from Uzbekistan gag protein (gag) and pol protein (pol) genes, partial cds; and vif protein (vif), vpr protein (vpr), tat protein (tat), rev protein (rev), vpu protein (vpu), envelope glycoprotein (env), and nef protein (nef) genes, complete cds"
100_liquor_Chelyabinsk;16;KY235853;HIV-1 isolate 15UZ14 from Uzbekistan pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;17;HF679237;HIV-1 M:A1 Mn13A1 partial gag-pol gene for polyprotein, protease and reverse transcriptase region
100_liquor_Chelyabinsk;18;EF589043;"HIV-1 isolate 02KZPAV300480 from Kazakhstan gag protein (gag) and pol protein (pol) genes, partial cds; and vif protein (vif), vpr protein (vpr), tat protein (tat), rev protein (rev), vpu protein (vpu), envelope glycoprotein (env), and nef protein (nef) genes, complete cds"
100_liquor_Chelyabinsk;19;HE657456;HIV-1 M:A Mn-12-A partial gag-pol gene for polyprotein, protease and reverse transcriptase region, genomic RNA
100_liquor_Chelyabinsk;20;AY500393;HIV-1 isolate 03RU20-06-13 from Russia, complete genome
100_liquor_Chelyabinsk;21;KY238350;HIV-1 isolate PRM_068_PRRT from Russia pol protein (pol) and gag protein (gag) genes, partial cds
100_liquor_Chelyabinsk;22;KF374862;HIV-1 isolate 11RU9900 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;23;JX290219;HIV-1 isolate 10RU6602 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;24;DQ823359;HIV-1 strain 01UAPol293 from Ukraine, partial genome
100_liquor_Chelyabinsk;25;MH330353;HIV-1 isolate BLG043 from Russia, complete genome
100_liquor_Chelyabinsk;26;JQ292892;"HIV-1 isolate RU01029 from Russia gag protein (gag) gene, complete cds; pol protein (pol) gene, partial cds; and vif protein (vif), vpr protein (vpr), tat protein (tat), rev protein (rev), vpu protein (vpu), envelope glycoprotein (env), and nef protein (nef) genes, complete cds"
100_liquor_Chelyabinsk;27;JQ292891;"HIV-1 isolate Irkutsk_5 from Russia gag protein (gag) gene, complete cds; pol protein (pol) gene, partial cds; vif protein (vif), vpr protein (vpr), tat protein (tat), rev protein (rev), vpu protein (vpu), and envelope glycoprotein (env) genes, complete cds; and nonfunctional nef protein (nef) gene, complete sequence"
100_liquor_Chelyabinsk;28;MH330354;HIV-1 isolate BLG044 from Russia, complete genome
100_liquor_Chelyabinsk;29;HF679256;HIV-1 M:A1 Mn-38A1 partial gag-pol gene for polyprotein, protease and reverse transcriptase region
100_liquor_Chelyabinsk;30;KF374885;HIV-1 isolate 12RU136c from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;31;KF374876;HIV-1 isolate 11RU12103 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;32;KF374859;HIV-1 isolate 11RU9834 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;33;KF374856;HIV-1 isolate 11RU9750 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;34;JQ292893;"HIV-1 isolate RUA001 from Russia gag protein (gag) gene, complete cds; pol protein (pol) gene, partial cds; and vif protein (vif), vpr protein (vpr), tat protein (tat), rev protein (rev), vpu protein (vpu), envelope glycoprotein (env), and nef protein (nef) genes, complete cds"
100_liquor_Chelyabinsk;35;EF589044;"HIV-1 isolate 02KZPAV300502 from Kazakhstan nonfunctional gag protein (gag) gene, partial sequence; pol protein (pol) gene, partial cds; and vif protein (vif), vpr protein (vpr), tat protein (tat), rev protein (rev), vpu protein (vpu), envelope glycoprotein (env), and nef protein (nef) genes, complete cds"
100_liquor_Chelyabinsk;36;MH330352;HIV-1 isolate BLG041 from Russia, complete genome
100_liquor_Chelyabinsk;37;MH330349;HIV-1 isolate BLG033 from Russia, complete genome
100_liquor_Chelyabinsk;38;DQ167216;"HIV-1 isolate EST2002-394 from Estonia truncated gag protein (gag) gene, complete cds; pol protein (pol) gene, partial cds; vif protein (vif), aberrant vpr protein (vpr), tat protein (tat), rev protein (rev), vpu protein (vpu), and envelope glycoprotein (env) genes, complete cds; and nef protein (nef) gene, partial cds"
100_liquor_Chelyabinsk;39;DQ823365;HIV-1 strain 01UAOD10 from Ukraine, partial genome
100_liquor_Chelyabinsk;40;DQ823361;HIV-1 strain 01UAKV254 from Ukraine, partial genome
100_liquor_Chelyabinsk;41;HF679246;HIV-1 M:A1 Mn-28A1 partial gag-pol gene for polyprotein, protease and reverse transcriptase region
100_liquor_Chelyabinsk;42;JX290209;HIV-1 isolate 10RU6010 from Russia pol protein (pol) gene, partial cds
100_liquor_Chelyabinsk;43;MH330356;HIV-1 isolate BLG051 from Russia, complete genome
100_liquor_Chelyabinsk;44;MH330350;HIV-1 isolate BLG035 from Russia, complete genome
100_liquor_Chelyabinsk;45;HF679252;HIV-1 M:A1 Mn-34A1 partial gag-pol gene for polyprotein, protease and reverse transcriptase region
100_liquor_Chelyabinsk;46;HE657493;HIV-1 M:A Mg-1-A partial gag-pol gene for polyprotein, protease and reverse transcriptase region, genomic RNA
