input_seq_id;hit_num;accession_id;definition
13_plasma_Chelyabinsk;1;MK589583;HIV-1 isolate KRS5414 from Russia pol protein (pol) and gag protein (gag) genes, partial cds
13_plasma_Chelyabinsk;2;MN116387;HIV-1 isolate 486-14.09.2017 from Russia pol protein (pol) gene, partial cds
13_plasma_Chelyabinsk;3;MK589589;HIV-1 isolate KRS5420 from Russia pol protein (pol) and gag protein (gag) genes, partial cds
13_plasma_Chelyabinsk;4;KX530767;HIV-1 isolate 324628 from Russia pol protein (pol) gene, partial cds
13_plasma_Chelyabinsk;5;OK474363;HIV-1 isolate 1551D from Russia pol protein (pol) and gag protein (gag) genes, partial cds
13_plasma_Chelyabinsk;6;MH330352;HIV-1 isolate BLG041 from Russia, complete genome
13_plasma_Chelyabinsk;7;MF403212;HIV-1 isolate A1_0716391855885417 from Spain pol protein (pol) gene, partial cds
13_plasma_Chelyabinsk;8;KM247300;HIV-1 isolate RU_IRK_556_1999 from Russia pol protein (pol) gene, partial cds
13_plasma_Chelyabinsk;9;EF589039;"HIV-1 isolate 02KZPAV300497 from Kazakhstan gag protein (gag) and pol protein (pol) genes, partial cds; and vif protein (vif), vpr protein (vpr), tat protein (tat), rev protein (rev), vpu protein (vpu), envelope glycoprotein (env), and nef protein (nef) genes, complete cds"
13_plasma_Chelyabinsk;10;MK931642;HIV-1 isolate RU_ERS_0529_2015 from Russia pol protein (pol) and gag protein (gag) genes, partial cds
13_plasma_Chelyabinsk;11;HQ161914;HIV-1 isolate VLD136 from Russia pol protein (pol) gene, partial cds
13_plasma_Chelyabinsk;12;EU345678;HIV-1 isolate IR67B from Russia pol protein (pol) gene, partial cds
13_plasma_Chelyabinsk;13;MK931793;HIV-1 isolate RU_ERS_1132_2017 from Russia pol protein (pol) and gag protein (gag) genes, partial cds >gi|1824673972|gb|MK931991.1| HIV-1 isolate RU_ERS_2439_2017 from Russia pol protein (pol) and gag protein (gag) genes, partial cds
13_plasma_Chelyabinsk;14;MH330380;HIV-1 isolate MRK087 from Russia, complete genome
13_plasma_Chelyabinsk;15;MH494286;HIV-1 isolate MnObl_73 from Belarus pol protein (pol) gene, partial cds
13_plasma_Chelyabinsk;16;KM247291;HIV-1 isolate RU_IRK_546_1999 from Russia pol protein (pol) gene, partial cds >gi|700588763|gb|KM247299.1| HIV-1 isolate RU_IRK_555_1999 from Russia pol protein (pol) gene, partial cds
13_plasma_Chelyabinsk;17;KC254605;HIV-1 isolate BLG041 from Russia pol protein (pol) gene, partial cds
13_plasma_Chelyabinsk;18;HQ161918;HIV-1 isolate SML010 from Russia pol protein (pol) gene, partial cds
13_plasma_Chelyabinsk;19;EF589041;"HIV-1 isolate 02KZYUZ300425 from Kazakhstan gag protein (gag) and pol protein (pol) genes, partial cds; and vif protein (vif), vpr protein (vpr), tat protein (tat), rev protein (rev), vpu protein (vpu), envelope glycoprotein (env), and nef protein (nef) genes, complete cds"
13_plasma_Chelyabinsk;20;MK795086;HIV-1 isolate KRD222 from Russia pol protein (pol) and gag protein (gag) genes, partial cds
13_plasma_Chelyabinsk;21;KR233392;HIV-1 isolate VLD021 from Russia pol protein (pol) gene, partial cds
13_plasma_Chelyabinsk;22;KC509794;HIV-1 isolate RU_IRK078 from Russia pol protein (pol) gene, partial cds
13_plasma_Chelyabinsk;23;JX290235;HIV-1 isolate 10RU72m from Russia pol protein (pol) gene, partial cds
13_plasma_Chelyabinsk;24;EU345694;HIV-1 isolate IR84B from Russia pol protein (pol) gene, partial cds
13_plasma_Chelyabinsk;25;EU345692;HIV-1 isolate IR82B from Russia pol protein (pol) gene, partial cds
