input_seq_id;hit_num;accession_id;definition
11_plasma_Chelyabinsk;1;ON653503;HIV-1 isolate HIV1_2018_104_LO from Russia pol protein (pol) gene, partial cds
11_plasma_Chelyabinsk;2;ON653572;HIV-1 isolate HIV1_2018_93_VN from Russia pol protein (pol) gene, partial cds
11_plasma_Chelyabinsk;3;MH623923;Human immunodeficiency virus isolate TH-PDR-3-029 pol protein-like (pol) gene, partial sequence
11_plasma_Chelyabinsk;4;MH623950;Human immunodeficiency virus isolate TH-PDR-3-057 pol protein-like (pol) gene, partial sequence
11_plasma_Chelyabinsk;5;MH623882;Human immunodeficiency virus isolate TH-PDR-2-048 pol protein-like (pol) gene, partial sequence
11_plasma_Chelyabinsk;6;ON653577;HIV-1 isolate HIV1_2018_43_VN from Russia pol protein (pol) gene, partial cds
11_plasma_Chelyabinsk;7;MH623934;Human immunodeficiency virus isolate TH-PDR-3-040 pol protein-like (pol) gene, partial sequence
11_plasma_Chelyabinsk;8;MH623887;Human immunodeficiency virus isolate TH-PDR-2-053 pol protein-like (pol) gene, partial sequence
11_plasma_Chelyabinsk;9;MH623939;Human immunodeficiency virus isolate TH-PDR-3-045 pol protein-like (pol) gene, partial sequence
11_plasma_Chelyabinsk;10;MH623940;Human immunodeficiency virus isolate TH-PDR-3-046 pol protein-like (pol) gene, partial sequence
11_plasma_Chelyabinsk;11;ON653486;HIV-1 isolate HIV1_2018_77_LO from Russia pol protein (pol) gene, partial cds
11_plasma_Chelyabinsk;12;MH623829;Human immunodeficiency virus isolate TH-PDR-1-053 pol protein-like (pol) gene, partial sequence
11_plasma_Chelyabinsk;13;MH623933;Human immunodeficiency virus isolate TH-PDR-3-039 pol protein-like (pol) gene, partial sequence
11_plasma_Chelyabinsk;14;MH623936;Human immunodeficiency virus isolate TH-PDR-3-042 pol protein-like (pol) gene, partial sequence
11_plasma_Chelyabinsk;15;MH623888;Human immunodeficiency virus isolate TH-PDR-2-054 pol protein-like (pol) gene, partial sequence
11_plasma_Chelyabinsk;16;MH623915;Human immunodeficiency virus isolate TH-PDR-3-021 pol protein-like (pol) gene, partial sequence
11_plasma_Chelyabinsk;17;MH623913;Human immunodeficiency virus isolate TH-PDR-3-019 pol protein-like (pol) gene, partial sequence
11_plasma_Chelyabinsk;18;MH623873;Human immunodeficiency virus isolate TH-PDR-2-039 pol protein-like (pol) gene, partial sequence
11_plasma_Chelyabinsk;19;MH623937;Human immunodeficiency virus isolate TH-PDR-3-043 pol protein-like (pol) gene, partial sequence
11_plasma_Chelyabinsk;20;MH623914;Human immunodeficiency virus isolate TH-PDR-3-020 pol protein-like (pol) gene, partial sequence
11_plasma_Chelyabinsk;21;MH623858;Human immunodeficiency virus isolate TH-PDR-2-023 pol protein-like (pol) gene, partial sequence
11_plasma_Chelyabinsk;22;MH623492;Human immunodeficiency virus isolate ML-PDR-1-007 pol protein-like (pol) gene, partial sequence
11_plasma_Chelyabinsk;23;MH623883;Human immunodeficiency virus isolate TH-PDR-2-049 pol protein-like (pol) gene, partial sequence
11_plasma_Chelyabinsk;24;AY589919;HIV-1 isolate 02ZA.DR70 from South Africa nonfunctional pol protein (pol) gene, partial sequence
11_plasma_Chelyabinsk;25;MH623570;Human immunodeficiency virus isolate ML-PDR-2-056 pol protein-like (pol) gene, partial sequence
11_plasma_Chelyabinsk;26;KX692209;HIV-1 isolate CH44 from Switzerland pol protein (pol) and gag protein (gag) genes, partial cds
11_plasma_Chelyabinsk;27;MH623897;Human immunodeficiency virus isolate TH-PDR-3-003 pol protein-like (pol) gene, partial sequence
11_plasma_Chelyabinsk;28;MK931812;HIV-1 isolate RU_ERS_1468_2007 from Russia pol protein (pol) and gag protein (gag) genes, partial cds
11_plasma_Chelyabinsk;29;AY589911;HIV-1 isolate 02ZA.DR59 from South Africa nonfunctional pol protein (pol) gene, partial sequence
11_plasma_Chelyabinsk;30;MH623618;Human immunodeficiency virus isolate ML-PDR-2-112 pol protein-like (pol) gene, partial sequence
11_plasma_Chelyabinsk;31;MH623599;Human immunodeficiency virus isolate ML-PDR-2-091 pol protein-like (pol) gene, partial sequence
11_plasma_Chelyabinsk;32;KJ722077;HIV-1 isolate RU_NNG442 from Russia pol protein (pol) gene, partial cds
11_plasma_Chelyabinsk;33;EF450004;HIV-1 isolate 5870795 from Switzerland pol protein (pol) gene, partial cds
11_plasma_Chelyabinsk;34;KF720944;HIV-1 isolate AM013_2009 from Armenia pol protein (pol) gene, partial cds
11_plasma_Chelyabinsk;35;MK931805;HIV-1 isolate RU_ERS_1460_2007 from Russia pol protein (pol) and gag protein (gag) genes, partial cds
11_plasma_Chelyabinsk;36;MG063795;HIV-1 isolate MARY1069/RU from Russia pol protein (pol) gene, partial cds
11_plasma_Chelyabinsk;37;KR233337;HIV-1 isolate SRT047 from Russia pol protein (pol) gene, partial cds
11_plasma_Chelyabinsk;38;KM247291;HIV-1 isolate RU_IRK_546_1999 from Russia pol protein (pol) gene, partial cds >gi|700588763|gb|KM247299.1| HIV-1 isolate RU_IRK_555_1999 from Russia pol protein (pol) gene, partial cds
11_plasma_Chelyabinsk;39;KJ722076;HIV-1 isolate RU_NNG441 from Russia pol protein (pol) gene, partial cds
11_plasma_Chelyabinsk;40;KJ771121;Human immunodeficiency virus isolate 09-03544 pol protein (pol) gene, partial cds
11_plasma_Chelyabinsk;41;JX290209;HIV-1 isolate 10RU6010 from Russia pol protein (pol) gene, partial cds
11_plasma_Chelyabinsk;42;EU345875;HIV-1 isolate RUJA16 from Russia pol protein (pol) gene, partial cds
11_plasma_Chelyabinsk;43;EU345843;HIV-1 isolate AdelB from Russia pol protein (pol) gene, partial cds
11_plasma_Chelyabinsk;44;EU345760;HIV-1 isolate RU01057 from Russia pol protein (pol) gene, partial cds
